settlement_name,summary,char_count
Nagyhuta,"Nagyhuta turisztikai vonzerővel rendelkező község Borsod-Abaúj-Zemplén megyében. A fővárostól való távolsága és rossz közlekedési kapcsolata periférikus helyzetbe szorítja. Helyi munkaerőpiaca kiemelkedően erős, a munkahelyek száma jóval meghaladja a helyi aktív keresők arányát – ez a környező térség számára is foglalkoztatási vonzerőt jelent. Az ingatlanárak közel vannak az országos átlaghoz (átlagos házár: 308 469Ft/m²), és az áremelkedés üteme meghaladja az országos átlagot. A turisztikai kereslet felfelé húzza az árakat. Infrastruktúra és szolgáltatások szempontjából: városi tömegközlekedéssel rendelkezik; az internetelérhetőség elmaradott; alapvető bevásárlási lehetőségekért is távolabb kell utazni. Természeti adottságai: kivételesen erdős, természetközeli környezetben helyezkedik el; dombos-hegyes terepen, átlagosan 318 m tengerszint feletti magasságban fekszik.",880
Háromhuta,"Háromhuta turisztikai vonzerővel rendelkező község Borsod-Abaúj-Zemplén megyében. A fővárostól való távolsága és rossz közlekedési kapcsolata periférikus helyzetbe szorítja. Helyi munkaerőpiaca kiemelkedően erős, a munkahelyek száma jóval meghaladja a helyi aktív keresők arányát – ez a környező térség számára is foglalkoztatási vonzerőt jelent. Az ingatlanárak közel vannak az országos átlaghoz (átlagos házár: 267 416Ft/m²), az értéknövekedés lassú volt az elmúlt években. A turisztikai kereslet felfelé húzza az árakat. Infrastruktúra és szolgáltatások szempontjából: városi tömegközlekedéssel rendelkezik; az internetelérhetőség elmaradott; alapvető bevásárlási lehetőségekért is távolabb kell utazni; az elérhető vendéglátóhelyek száma az átlag felett van. Természeti adottságai: kivételesen erdős, természetközeli környezetben helyezkedik el; dombos-hegyes terepen, átlagosan 416 m tengerszint feletti magasságban fekszik.",929
Istenmezeje,"Istenmezeje Budapest közelében fekvő agglomerációs község, amely elsősorban lakóhelyi funkciókat lát el. A főváros autóval elérhetően közel van. Szinte nincs érdemi helyi foglalkoztatás, a mindennapi munkavégzés szinte teljes mértékben ingázást feltételez. Az ingatlanárak az országos átlag alatt maradnak (átlagos házár: 225 092Ft/m²), az elmúlt évek áremelkedése kiugró volt. Infrastruktúra és szolgáltatások szempontjából: városi tömegközlekedéssel rendelkezik; az internetelérhetőség elmaradott; alapvető bevásárlási lehetőségekért is távolabb kell utazni; az elérhető vendéglátóhelyek száma az átlag felett van. Természeti adottságai: kivételesen erdős, természetközeli környezetben helyezkedik el. Összességében: alacsony ingatlanárak; jó budapesti elérhetőség; természetközeli életmód jellemzik, ugyanakkor minimális helyi munkalehetőség is fennáll. Annak érdemes mérlegelni, aki alacsony lakhatási költségek mellett természetközeli életmódot keres.",956
Kissikátor,"Kissikátor Borsod-Abaúj-Zemplén megyei község. A munkaerőpiaci kínálat közepes – van helyi munkalehetőség, de a jobban fizető pozíciókért sokan ingáznak. Az ingatlanárak az ország legolcsóbbjai közé tartoznak (átlagos házár: 192 236Ft/m²), és az áremelkedés üteme meghaladja az országos átlagot. Infrastruktúra és szolgáltatások szempontjából: városi tömegközlekedéssel rendelkezik; az internetelérhetőség elmaradott; kulturális infrastruktúra alig érhető el. Természeti adottságai: kivételesen erdős, természetközeli környezetben helyezkedik el. Összességében: alacsony ingatlanárak; természetközeli életmód jellemzik, ugyanakkor szegényes szolgáltatáskínálat is fennáll. Annak érdemes mérlegelni, aki alacsony lakhatási költségek mellett természetközeli életmódot keres.",772
Domaháza,"Domaháza Borsod-Abaúj-Zemplén megyei község. A helyi népesség iskolai végzettsége az országos átlag alatt marad. A munkaerőpiaci kínálat közepes – van helyi munkalehetőség, de a jobban fizető pozíciókért sokan ingáznak. Az ingatlanárak az ország legolcsóbbjai közé tartoznak (átlagos házár: 191 854Ft/m²), és az áremelkedés üteme meghaladja az országos átlagot. Infrastruktúra és szolgáltatások szempontjából: városi tömegközlekedéssel rendelkezik; az internetelérhetőség elmaradott; alapvető bevásárlási lehetőségekért is távolabb kell utazni. Természeti adottságai: kivételesen erdős, természetközeli környezetben helyezkedik el. Főbb erősségei: alacsony ingatlanárak; természetközeli életmód. Annak lehet vonzó, aki alacsony lakhatási költségek mellett természetközeli életmódot keres.",788
Borsodszentgyörgy,"Borsodszentgyörgy Borsod-Abaúj-Zemplén megyei község. A munkaerőpiaci kínálat közepes – van helyi munkalehetőség, de a jobban fizető pozíciókért sokan ingáznak. Az ingatlanárak az országos átlag alatt maradnak (átlagos házár: 249 044Ft/m²), az értéknövekedés lassú volt az elmúlt években. Infrastruktúra és szolgáltatások szempontjából: városi tömegközlekedéssel rendelkezik; az internetelérhetőség elmaradott; a kiskereskedelmi ellátottság jó; kulturális kínálata az átlagot meghaladja. Természeti adottságai: kivételesen erdős, természetközeli környezetben helyezkedik el. Főbb erősségei: alacsony ingatlanárak; természetközeli életmód; gazdag kulturális kínálat. Annak lehet vonzó, aki alacsony lakhatási költségek mellett természetközeli életmódot keres.",758
Répáshuta,"Répáshuta turisztikai vonzerővel rendelkező község Borsod-Abaúj-Zemplén megyében. Magasan képzett, szellemi foglalkozású népesség koncentrálódik itt. A munkaerőpiaci kínálat közepes – van helyi munkalehetőség, de a jobban fizető pozíciókért sokan ingáznak. Az ingatlanárak az országos átlag felett mozognak (átlagos házár: 445 907Ft/m²), az áremelkedés az országos átlagnak megfelelő ütemű. A turisztikai kereslet felfelé húzza az árakat. Infrastruktúra és szolgáltatások szempontjából: városi tömegközlekedéssel rendelkezik; az internetelérhetőség elmaradott; alapvető bevásárlási lehetőségekért is távolabb kell utazni. Természeti adottságai: kivételesen erdős, természetközeli környezetben helyezkedik el; a levegőminőség kiemelkedően tiszta; dombos-hegyes terepen, átlagosan 633 m tengerszint feletti magasságban fekszik. Összességében: természetközeli életmód; turisztikai vonzerő jellemzik, ugyanakkor magas ingatlanköltség is fennáll.",941
Bükkszentkereszt,"Bükkszentkereszt turisztikai vonzerővel rendelkező község Borsod-Abaúj-Zemplén megyében. Magasan képzett, szellemi foglalkozású népesség koncentrálódik itt. A munkaerőpiaci kínálat közepes – van helyi munkalehetőség, de a jobban fizető pozíciókért sokan ingáznak. Az ingatlanárak közel vannak az országos átlaghoz (átlagos házár: 309 701Ft/m²), és az áremelkedés üteme meghaladja az országos átlagot. A turisztikai kereslet felfelé húzza az árakat. Infrastruktúra és szolgáltatások szempontjából: városi tömegközlekedéssel rendelkezik; az internetelérhetőség elmaradott; kulturális kínálata az átlagot meghaladja; az elérhető vendéglátóhelyek és sportlétesítmények száma az átlag felett van. Természeti adottságai: kivételesen erdős, természetközeli környezetben helyezkedik el; a levegőminőség az átlagnál jobb; dombos-hegyes terepen, átlagosan 601 m tengerszint feletti magasságban fekszik. Főbb erősségei: természetközeli életmód; gazdag kulturális kínálat; turisztikai vonzerő.",981
Járdánháza,"Járdánháza Borsod-Abaúj-Zemplén megyei község. A munkaerőpiaci kínálat közepes – van helyi munkalehetőség, de a jobban fizető pozíciókért sokan ingáznak. Az ingatlanárak az ország legolcsóbbjai közé tartoznak (átlagos házár: 181 048Ft/m²), az áremelkedés az országos átlagnak megfelelő ütemű. Infrastruktúra és szolgáltatások szempontjából: városi tömegközlekedéssel rendelkezik; az elérhető vendéglátóhelyek száma az átlag felett van. Természeti adottságai: kivételesen erdős, természetközeli környezetben helyezkedik el; a levegőminőség az átlagnál jobb. Főbb erősségei: alacsony ingatlanárak; természetközeli életmód. Annak lehet vonzó, aki alacsony lakhatási költségek mellett természetközeli életmódot keres.",713
Vágáshuta,"Vágáshuta turisztikai vonzerővel rendelkező község Borsod-Abaúj-Zemplén megyében. A fővárostól való távolsága és rossz közlekedési kapcsolata periférikus helyzetbe szorítja. A munkaerőpiaci kínálat közepes – van helyi munkalehetőség, de a jobban fizető pozíciókért sokan ingáznak. Az ingatlanárak közel vannak az országos átlaghoz (átlagos házár: 280 222Ft/m²), az értéknövekedés lassú volt az elmúlt években. A turisztikai kereslet felfelé húzza az árakat. Infrastruktúra és szolgáltatások szempontjából: városi tömegközlekedéssel rendelkezik; az internetelérhetőség elmaradott; a kiskereskedelmi ellátottság jó; kulturális infrastruktúra alig érhető el. Természeti adottságai: kivételesen erdős, természetközeli környezetben helyezkedik el; a levegőszennyezettség meghaladja az átlagot. Összességében: természetközeli életmód; turisztikai vonzerő jellemzik, ugyanakkor gyenge budapesti kapcsolat; szegényes szolgáltatáskínálat is fennáll.",940
