parameter_key,megnevezes,ui_definicio,kategoria,adatforras_ok,adatforras_link,gis_modszertan,merkegyseg,normalizalas_100_pt,normalizalas_0_pt,sulyozhatosag
"forest_index","Erdőlefedettség index (3 km)","A település lakott területei körüli 3 km-es zóna erdősültségi mutatója, tiszta lineáris skálára normalizálva (0-100).","Természeti környezet","Corine Land Cover (CLC, 2018); OpenStreetMap","https://land.copernicus.eu/pan-european/corine-land-cover/clc2018; https://www.openstreetmap.org","Lakott terület 3000 m-es pufferén belül a CLC (311, 312, 313) és OSM erdők uniója (Dissolve). A kapott erdőterület aránya a teljes pufferzóna területéhez képest. Képlet: Arány x 100.","indexpont (0-100)","100% erdőborítottság a teljes pufferzónán belül","0% erdőborítottság a teljes pufferzónán belül","Pozitív irányú lineáris"
"water_index","Vízfelület lefedettség index (3 km)","A mutató a lakott terület vízközelségi expozícióját fejezi ki: meghatározza, hogy a szignifikáns víztestek 3000 m-es pufferzónája a lakott terület mekkora hányadát fedi le, tiszta lineáris skálára normalizálva (0-100).","Természeti környezet","OpenStreetMap (natural=water; waterway=riverbank; landuse=reservoir)","https://www.openstreetmap.org","OSM felszíni víztestek (>=1 ha) -> 100 m-es geometria-egyszerűsítés -> 3000 m-es dissolved proximity buffer -> metszet a lakott területtel. Képlet: (vízközelségi zóna metszet lakott terület) / lakott terület x 100.","indexpont (0-100)","100% vízközelségi lefedettség a lakott területen belül","0% lefedettség (nincs szignifikáns víztest 3 km-en belül)","Pozitív irányú lineáris"
"terrain_index","Hegyvidéki karakter (3 km)","A település környezetének domborzati tagoltságát és hegy-érzetét kifejező mutató. A magas érték meredek lejtőket, markáns szintkülönbségeket és panorámát, az alacsony érték síkvidéki jelleget jelent. Tiszta lineáris skálára normalizálva (0-100).","Természeti környezet","Copernicus Global DEM (GLO-30, 30 m)","https://spacedata.copernicus.eu/collections/copernicus-digital-elevation-model","A lakott terület körüli 3000 m-es pufferzónában a 30 m-es felbontású magasságmodellből (DEM) származtatott átlagos lejtőszög (Slope mean) számítása. Normalizálás: CLAMP((slope_mean - 1) / (12 - 1) x 100, 0, 100). Az 1 fok alatti értékek 0-t, a 12 fok feletti értékek 100-at kapnak.","indexpont (0-100)","Átlagos lejtőszög >= 12 fok (középhegységi jelleg)","Átlagos lejtőszög <= 1 fok (tökéletes síkság)","Pozitív irányú lineáris"
"airpollution_index","Légszennyezettségi index (3 km)","A mutató a település 3 km-es körzetének levegőminőségét fejezi ki három szennyezőanyag egészségügyi relevanciájuk szerinti súlyozásával, 0-100-as lineáris skálára normalizálva.","Természeti környezet","Copernicus Atmosphere Monitoring Service (CAMS) - európai légminőség reanalízis (2023)","https://atmosphere.copernicus.eu/european-air-quality-reanalyses","CAMS havi rácsos adatok (NO2, PM2.5, PM10, EOV vetület) -> éves átlag (PM2.5: 9 hónapos átlag, március-május kihagyásával) -> 3 km-es pufferzónán belüli zónális átlag (all_touched=True) -> súlyozott összetett érték: composite = PM2.5x0.6 + NO2x0.3 + PM10x0.1 -> lineáris normalizálás: CLAMP((32 - composite) / (32 - 7.5) x 100, 0, 100), ahol 7.5 a WHO-irányértékekből, 32 az EU-határértékekből levezetett viszonyítási pont.","indexpont (0-100)","PM2.5 <= 5 ug/m3, NO2 <= 10 ug/m3, PM10 <= 15 ug/m3 (WHO éves irányértékek, composite <= 7.5)","PM2.5 >= 25 ug/m3, NO2 >= 40 ug/m3, PM10 >= 50 ug/m3 (EU határértékek, composite >= 32)","Negatív irányú lineáris (alacsonyabb szennyezés = magasabb pontszám)"
"budapest_car_train_index","Budapest elérhetőség - autó + vonat","Mennyi idő alatt lehet reggel 9:30-ra Budapestre érni a legközelebbi vasútállomásra autózva, majd vonattal? Az index az autós ráhordási idő és a vonat-menetidő összegét méri.","Elérhetőség és közlekedés","MÁV GTFS (gtfsMavMenetrend.zip; mintanap: 2026-05-19)","https://www.mavcsoport.hu/mav/menetrendek","1. MÁV GTFS betöltése: aktív service-ek, trip-ek, stop_times. 2. BP-terminálok: Keleti (267), Nyugati (269), Déli (3639), Kelenföld (3640), érkezés <= 09:30. 3. Közvetlen + 1-átszállásos routing (min. 5 perc átszállási idő). 4. Dinamikus catchment zóna: max(15 km, legközelebbi aktív állomás távolsága + 15 km). 5. Trip-centrikus szabály: egy tripen belül csak a legközelebbi felszállóhely számít. 6. Állomásválasztás: ha az extra autózás < 5 perc, a legjobb összidejű állomást választja; ha >= 5 perc, csak akkor vált, ha >= 20 percet spórol. 7. Budapest kerületek: 0 perc, 100 pont. 8. Fallback a legközelebbi elérhető állomásra ha nincs BP-kapcsolatú állomás a zónában.","perc (autó + vonat összesen)","Budapest kerületek és 0 perc összidő (100 pont)","387.8 perc összidő - normalizálás: (387.8 - total_min) / 387.8 x 100, [0, 100]-ra csonkítva","Igen"
"internet_index","Internet sebesség index","A mutató a település lakott területét övező 3 km-es zónában az Ookla Speedtest fixed broadband tile-ok alapján becsült, terület szerinti súlyozott átlagos letöltési sebességet fejezi ki (valós felhasználói mérések cellánkénti aggregátuma; nem hirdetett lefedettség). Az index log10-skálán kerül 0-100 pont közé.","Elérhetőség és közlekedés","Speedtest by Ookla - Global Fixed Broadband Performance (Q4 2024); OpenStreetMap - lakott terület + 3 km puffer","https://registry.opendata.aws/speedtest-global-performance/; https://www.openstreetmap.org","Ookla Q4 2024 fixed broadband tile shapefile (~610 m x 610 m, EPSG:4326) -> Magyarország bbox szűrés -> átvetítés EOV (EPSG:23700). Minden 3 km-es övezetre: az övezet geometriáját metsző tile-ok kiválasztása; tile-onként a (övezet metszet tile) terület és az avg_d_kbps; súlyozott átlag: összeg(metszet_terület x avg_d_kbps) / összeg(metszet_terület). Log10-normalizálás: alsó horgony 5 Mbps = 0 pont, felső horgony 300 Mbps = 100 pont; [0, 100]-ra csonkítva.","indexpont (0-100)","300 Mbps terület-súlyozott átlag letöltés (log-skála felső horgony; ettől gyorsabb átlag is maximum 100 pont)","5 Mbps terület-súlyozott átlag letöltés (log-skála alsó horgony)","Pozitív irányú log-skála (magasabb tapasztalt sebesség = magasabb pontszám)"
"urban_mobility_index","Városi mobilitási index","A mutató azt fejezi ki, mennyire jól kiszolgált egy település tömegközlekedési szempontból, illetve mennyire besétálható a belső szerkezete. A magas érték intenzív helyi járatrendszert és/vagy kompakt, gyalogosan bejárható lakott területet jelöl.","Elérhetőség és közlekedés","BKK GTFS (Budapest, kerületenként; 2025); Volánbusz GTFS + helyi GTFS (24 nagyváros; 2025); KSH TEIR / TSTAR - helyközi viszonylatok és utaskilométer (58 település, 2024); OpenStreetMap - lakott terület","https://opendata.bkk.hu/datasets; https://gtfs.menetrendek.hu; https://www.teir.hu; https://www.openstreetmap.org","Két dimenzió kombinációja. (1) TKV-score: ha van GTFS-adat, a mintanap hétköznapi indulásaiból számított departures_per_stop értéket log1p-normalizálja Budapest horgonyához (147.3 ind./megálló/nap = 100 pt). Ha nincs GTFS, de van TEIR-adat: viszonylatok és utaskilométer log1p-normalizálása (Budapest: 238 viszonylat és 2 290 460 utaskm = 100 pt), átlagolva. (2) Walk-score: fordított lineáris a lakott terület km2-éből (0.1 km2 = 100 pt, 30 km2 = 0 pt). Végső raw érték: max(tkv_score; min(walk_score; 60)). Min-max lineáris rescaling: minimum = Érd (0 pt), maximum = Budapest VII. kerület (100 pt).","indexpont (0-100)","Budapest VII. kerület (legsűrűbb BKK-hálózat; rescaling referencia-maximum = 100 pt)","Érd (nagy kiterjedésű, laza szerkezetű elővárosi terület, gyenge helyi tranzit; rescaling referencia-minimum = 0 pt)","Pozitív irányú (magasabb érték = jobb tömegközlekedési ellátottság és/vagy kompaktabb, gyalogosan bejárható lakott terület)"
"transport_frequency_index","Tömegközlekedési járatsűrűség-index (járási székhely)","A mutató azt fejezi ki, hány tömegközlekedési járat köti össze egy átlagos hétköznapon a települést a saját járási székhelyével. A magas érték sűrű, rendszeres összeköttetést jelent a közigazgatási és szolgáltató-centrum felé, az alacsony érték pedig gyenge vagy hiányzó kötődést.","Elérhetőség és közlekedés","Volánbusz GTFS (21 regionális feed; 2026. május); MÁV GTFS (gtfsMavMenetrend.zip; 2026. május); OpenStreetMap - járási székhely-hozzárendelés (admin_level=7, 174 járás)","https://gtfs.menetrendek.hu; https://www.mavcsoport.hu/mav/menetrendek; https://www.openstreetmap.org","Mintanap: 2026-05-19 (kedd), GTFS calendar.txt / calendar_dates.txt alapján aktív service_id-k szűrésével. Volánbusz: stop_name első vesszőig tartó prefix-egyeztetéssel azonosítja a megállókat; aktív tripek száma amelyek mindkét helyen (település + székhely) megállnak. MÁV: azonos logika, kétirányos adatolás miatt az értéket 2-vel osztja, majd 40-nél korlátozza. Összesítés: napi_jaratok = Volánbusz + korrigált MÁV. Pontozás: pont = log2(n + 1) / log2(41) x 100, max 100. Különleges esetek: járási székhely maga és Budapest kerületek automatikusan 100 pontot kapnak.","indexpont (0-100)","40 vagy több napi járat a járási székhely felé (log2-skálán telítési pont); vagy a settlement maga a járási székhely; vagy Budapest kerülete","Egyetlen járat sem közlekedik a járási székhely felé az adott mintanapon","Pozitív irányú (magasabb érték = sűrűbb, rendszeresebb összeköttetés a járás közigazgatási centrumával)"
"district_seat_access_index","Járásszékhely autós elérhetőségi indexe","A mutató azt fejezi ki, mennyi ideig tart közúton eljutni a járásszékhelyre a leggyorsabb útvonalon. Az alacsony menetidő - és ezzel a magas pontszám - közvetlen hozzáférést jelent a közigazgatási, egészségügyi és kereskedelmi szolgáltatásokhoz, amelyek jellemzően a járásközpontban koncentrálódnak.","Elérhetőség és közlekedés","KSH TEIR / TSTAR - járásszékhely elérési ideje közúton (perc), 2022","https://www.teir.hu","Nyers menetidő-adat (perc) közvetlen felhasználása, GIS-feldolgozás nélkül. Budapest kerületek esetén a járásszékhely maga Budapest (0 perc, 100 pont). Normalizálás: lineáris, score = (60 - perc) / 60 x 100, [0, 100]-ra csonkítva. A 60 perces felső horgony az adathalmazban megfigyelt valós maximum.","indexpont (0-100)","0 perc menetidő (a settlement maga a járásszékhely, vagy Budapest kerület)","60 perc vagy több menetidő a járásszékhelyre","Negatív irányú bemeneti adat, pozitív irányú index (magasabb pontszám = rövidebb menetidő = jobb elérhetőség)"
"budapest_access_index","Budapest autós elérhetőségi indexe","A mutató azt fejezi ki, mennyi ideig tart közúton eljutni Budapestre a leggyorsabb útvonalon. A magas pontszám közvetlen fővárosi kapcsolatot jelent (munkaerőpiac, repülőtér, országos intézmények), az alacsony pontszám erős földrajzi perifériahelyzetet.","Elérhetőség és közlekedés","KSH TEIR / TSTAR - Budapest elérési ideje közúton (perc), 2022","https://www.teir.hu","Nyers menetidő-adat közvetlen felhasználása, GIS-feldolgozás nélkül. Budapest kerületek esetén 0 perc (100 pont). Normalizálás: lineáris, score = (237 - perc) / 237 x 100, [0, 100]-ra csonkítva. A 237 perces felső horgony az adathalmazban megfigyelt valós maximum (Kishódos, Szabolcs-Szatmár-Bereg megye).","indexpont (0-100)","0 perc menetidő (Budapest kerületek)","237 perc vagy több (Kishódos - a legtávolabbi magyarországi település Budapesttől közúton)","Negatív irányú bemeneti adat, pozitív irányú index (magasabb pontszám = rövidebb menetidő = jobb budapesti elérhetőség)"
